file,group,MJD,seeing,ra,dec,gain,readnoise,date
h_e_20150224_20_1_1_1.fits,0,57077.918045,7.227592,10:00:44.504,+02:31:10.64,1.62,8.0,2015-02-24T22:01:59.070
h_e_20140502_34_1_1_1.fits,2,56779.913621,4.054494,10:02:04.570,+02:30:47.22,1.62,8.0,2014-05-02T21:55:36.881
h_e_20140403_24_1_1_1.fits,2,56750.897786,3.076389,10:02:04.339,+02:31:15.12,1.62,8.0,2014-04-03T21:32:48.739
h_e_20140416_14_1_1_1.fits,5,56763.872269,2.906908,10:02:04.146,+02:21:11.39,1.62,8.0,2014-04-16T20:56:04.074
h_e_20150424_21_1_1_1.fits,7,57136.901187,2.749418,10:01:23.797,+02:11:16.11,1.62,8.0,2015-04-24T21:37:42.573
h_e_20140311_64_1_1_1.fits,2,56728.083646,6.288509,10:02:04.453,+02:30:55.48,1.62,8.0,2014-03-12T02:00:27.008
h_e_20131224_95_1_1_1.fits,5,56651.080763,5.469402,10:02:03.647,+02:21:08.43,1.62,8.0,2013-12-25T01:56:17.963
h_e_20140405_20_1_1_1.fits,4,56752.875661,5.706009,10:01:24.273,+02:21:12.04,1.62,8.0,2014-04-05T21:00:57.067
h_e_20131225_89_1_1_1.fits,6,56652.055563,3.347329,10:00:43.447,+02:11:05.80,1.62,8.0,2013-12-26T01:20:00.655
h_e_20140126_51_1_1_1.fits,2,56684.08091,6.370893,10:02:04.302,+02:31:17.18,1.62,8.0,2014-01-27T01:56:30.587
h_e_20150330_16_1_1_1.fits,8,57111.84235,3.694892,10:02:03.451,+02:11:11.65,1.62,8.0,2015-03-30T20:12:59.033
h_e_20150505_14_1_1_1.fits,5,57147.926887,4.12251,10:02:03.578,+02:21:07.68,1.62,8.0,2015-05-05T22:14:43.074
h_e_20150509_26_1_1_1.fits,6,57151.890809,7.343195,10:00:43.519,+02:11:01.49,1.62,8.0,2015-05-09T21:22:45.866
h_e_20150329_14_1_1_1.fits,6,57110.85354,7.748421,10:00:43.208,+02:11:15.99,1.62,8.0,2015-03-29T20:29:05.849
h_e_20150429_19_1_1_1.fits,7,57141.856488,2.694316,10:01:23.619,+02:11:05.65,1.62,8.0,2015-04-29T20:33:20.544
h_e_20150405_18_1_1_1.fits,6,57117.872282,4.979278,10:00:43.492,+02:11:10.13,1.62,8.0,2015-04-05T20:56:05.201
h_e_20150211_35_1_1_1.fits,0,57064.969352,5.819057,10:00:45.066,+02:31:10.20,1.62,8.0,2015-02-11T23:15:52.029
h_e_20131120_50_1_1_1.fits,5,56617.148761,None,10:02:03.548,+02:21:05.96,1.62,8.0,2013-11-21T03:34:12.986
h_e_20150502_11_1_1_1.fits,6,57144.871644,3.307279,10:00:43.491,+02:11:12.52,1.62,8.0,2015-05-02T20:55:10.037
h_e_20131225_82_1_1_1.fits,2,56652.048906,4.256329,10:02:03.470,+02:31:05.72,1.62,8.0,2013-12-26T01:10:25.442
h_e_20140305_26_1_1_1.fits,6,56721.875314,7.483566,10:00:43.453,+02:11:11.48,1.62,8.0,2014-03-05T21:00:27.092
h_e_20131216_63_1_1_1.fits,8,56643.230796,5.31199,10:02:04.408,+02:10:59.41,1.62,8.0,2013-12-17T05:32:20.738
h_e_20140303_34_1_1_1.fits,4,56719.932206,8.418611,10:01:23.881,+02:21:14.06,1.62,8.0,2014-03-03T22:22:22.603
h_e_20150405_13_1_1_1.fits,0,57117.867278,9.418693,10:00:43.503,+02:31:10.10,1.62,8.0,2015-04-05T20:48:52.808
h_e_20150429_12_1_1_1.fits,4,57141.849495,2.883387,10:01:23.617,+02:21:06.52,1.62,8.0,2015-04-29T20:23:16.358
h_e_20140417_15_1_1_1.fits,1,56764.910769,2.730975,10:01:24.078,+02:30:53.76,1.62,8.0,2014-04-17T21:51:30.436
h_e_20140204_45_1_1_1.fits,4,56692.974672,7.916424,10:01:24.032,+02:21:08.23,1.62,8.0,2014-02-04T23:23:31.693
h_e_20150430_10_1_1_1.fits,7,57142.869081,3.046409,10:01:23.450,+02:11:10.77,1.62,8.0,2015-04-30T20:51:28.628
h_e_20131120_46_1_1_1.fits,2,56617.144992,6.246634,10:02:03.679,+02:31:04.93,1.62,8.0,2013-11-21T03:28:47.308
h_e_20150428_4_1_1_1.fits,4,57140.851175,2.51207,10:01:23.483,+02:21:07.05,1.62,8.0,2015-04-28T20:25:41.560
h_e_20140101_71_1_1_1.fits,1,56659.053668,4.43017,10:01:23.847,+02:31:08.08,1.62,8.0,2014-01-02T01:17:16.877
h_e_20140222_82_1_1_1.fits,6,56710.996764,8.362632,10:00:44.099,+02:11:13.87,1.62,8.0,2014-02-22T23:55:20.402
h_e_20150228_19_1_1_1.fits,1,57081.892504,5.171551,10:01:24.549,+02:31:11.37,1.62,8.0,2015-02-28T21:25:12.303
h_e_20131223_86_1_1_1.fits,6,56650.065942,4.594491,10:00:43.618,+02:11:10.22,1.62,8.0,2013-12-24T01:34:57.411
h_e_20140505_42_1_1_1.fits,1,56782.910538,3.730181,10:01:24.031,+02:30:44.93,1.62,8.0,2014-05-05T21:51:10.468
h_e_20140204_53_1_1_1.fits,6,56692.982307,4.422346,10:00:44.067,+02:11:07.39,1.62,8.0,2014-02-04T23:34:31.334
h_e_20150404_19_1_1_1.fits,0,57116.87746,3.502882,10:00:43.523,+02:31:13.60,1.62,8.0,2015-04-04T21:03:32.563
h_e_20150311_24_1_1_1.fits,6,57092.891846,3.401499,10:00:43.823,+02:11:14.75,1.62,8.0,2015-03-11T21:24:15.532
h_e_20150328_15_1_1_1.fits,5,57109.866786,5.338484,10:02:03.402,+02:21:09.74,1.62,8.0,2015-03-28T20:48:10.278
h_e_20150316_10_1_1_1.fits,0,57097.839458,5.335794,10:00:43.916,+02:31:12.23,1.62,8.0,2015-03-16T20:08:49.186
h_e_20140113_85_1_1_1.fits,7,56671.00799,6.160455,10:01:23.777,+02:11:07.62,1.62,8.0,2014-01-14T00:11:30.316
h_e_20131107_142_1_1_1.fits,1,56604.210639,3.385464,10:01:23.626,+02:31:12.68,1.62,8.0,2013-11-08T05:03:19.245
h_e_20150505_9_1_1_1.fits,4,57147.921901,5.900276,10:01:23.468,+02:21:06.34,1.62,8.0,2015-05-05T22:07:32.223
h_e_20150404_23_1_1_1.fits,7,57116.881452,4.779886,10:01:23.485,+02:11:14.20,1.62,8.0,2015-04-04T21:09:17.437
h_e_20140317_34_1_1_1.fits,7,56733.887452,4.006237,10:01:23.876,+02:11:13.77,1.62,8.0,2014-03-17T21:17:55.832
h_e_20140423_26_1_1_1.fits,2,56770.930164,2.627157,10:02:04.537,+02:30:45.29,1.62,8.0,2014-04-23T22:19:26.148
h_e_20150411_13_1_1_1.fits,2,57123.842776,4.223492,10:02:03.649,+02:31:09.37,1.62,8.0,2015-04-11T20:13:35.877
h_e_20140205_75_1_1_1.fits,2,56693.981988,7.961815,10:02:03.531,+02:31:15.50,1.62,8.0,2014-02-05T23:34:03.798
h_e_20150228_23_1_1_1.fits,8,57081.896512,4.792035,10:02:04.632,+02:11:11.75,1.62,8.0,2015-02-28T21:30:58.652
h_e_20140210_45_1_1_1.fits,1,56698.942498,3.950179,10:01:23.559,+02:31:10.54,1.62,8.0,2014-02-10T22:37:11.831
h_e_20150408_11_1_1_1.fits,5,57120.869704,3.826154,10:02:03.805,+02:21:08.90,1.62,8.0,2015-04-08T20:52:22.427
h_e_20131231_94_1_1_1.fits,6,56658.063488,5.390057,10:00:43.817,+02:11:07.99,1.62,8.0,2014-01-01T01:31:25.398
